symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"ssf","AtiNdiPZ8J6YEmSMDzqE58uhwmGcC98fGzsviFNkpump","66","0.100000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001518","","","","","","","2026-07-11T14:43:10.490Z","","","","","",""
"20 SOL","7sbqXVHPoJ5PXL6CLfXVY5VH8W7JuKxHXpFWCoGXpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001294","","","","","","2026-07-11T14:43:16.510Z",""
"WATER","AxwjNC41yJfsxv9nVQgAMS4Z7Ucu9d4f5A1wUMnbpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.043e-7","","","","","","2026-07-11T14:43:22.462Z",""
"HAAL9K","AW2Q46LZ1hUJTmR1vJtVRSKEhsmpXGGYNaHJy1TLpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.753e-7","","","","","","2026-07-11T14:43:29.203Z",""
"at","BadEDgz5qdkGH3XwAo1Ng2td7EFJa44suEkpA96Zpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25e-7","","","","","","2026-07-11T14:43:41.200Z",""
"$WIF","CP2cbfoxgvX9HGuK8cPGnrAJNiaimyz5zpFL7WJcpump","86","3.333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00004648","","","","","","","2026-07-11T14:44:23.214Z","","","","","",""
"20 SOL","DzJLLLmbaKtFnEHnRGwf6TVQ9Jd2P9d3QnpnxM3fpump","94","0.98765432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002435","","","","","","","2026-07-11T14:45:21.224Z","","","","","",""
"GOLD$","9SFk85fvpJs2fqujtv7cJg1oxbDSJDgYb1ZUnjtcpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95e-7","","","","","","2026-07-11T14:45:22.203Z",""
"BP","7sxJS7RpfcWGk9eAAZYBpNuksPS1rBEM8ihNSJJypump","86","3.333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000004123","","","","","","","2026-07-11T14:45:23.208Z","","","","","",""
"ISD","8o2MZ7wiqLmaSTVw4JzPTpjK5TtEGo29cA6jko2Ppump","76","1.000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002424","","","","","","","2026-07-11T14:45:24.199Z","","","","","",""
"WARP","BVs3itSLfiV5oyCSsTaakH26Wu2cregzh2RUp3VinCVy","72","0.495049503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000299","","","","","","","2026-07-11T14:46:21.208Z","","","","","",""
"at","7LAvx6xbjj62q6MNGm3PD9yNGLw7RJAqXEvAGPCQpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.686e-7","","","","","","2026-07-11T14:46:22.188Z",""
"pippin","A5vXFDguhWNB96UHUnePzYfUC3dxGjczBDmjagmpump","86","3.333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00001039","","","","","","","2026-07-11T14:46:23.197Z","","","","","",""
"20 SOL","H7gbGXAtYADAmDgqZyXbQxecV9kArK88NRdUGPLFpump","94","0.98765432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003575","","","","","","","2026-07-11T14:46:24.185Z","","","","","",""
"ORCA","CkQMDPujLNrykkK1jQzqqGHwcA7qbzdhGxHToTRSpump","86","3.333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002255","","","","","","","2026-07-11T14:47:20.208Z","","","","","",""
"SOLBOARDING","8pLqtbt3JJNUEEHdiM37DgDHDjF81AERzCAABeNypump","70","4.938271603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003094","","","","","","","2026-07-11T14:47:21.202Z","","","","","",""
"ANSEM","GEY11ytVkr7dRBk23vzeTd3JaB6fndHrhWbKH96bpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.405e-7","","","","","","2026-07-11T14:47:22.179Z",""
"at","5PRZfUASVmvnkWtzTbF3LzwLvQWtNTARMMqfmvGjpump","63","0.800000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001499","","","","","","","2026-07-11T14:47:23.208Z","","","","","",""
"TripleT","HfezLhqXvPmjxEu9fDKT5dxYv1qruV75qRXjbTo1pump","86","3.333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002904","","","","","","","2026-07-11T14:48:21.195Z","","","","","",""
"Tragicoin","8pEgxZqYv3HCvKui9ZymayM5r4Gmk3SA4Wb6ge1Fpump","64","3.190123455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002207","","","","","","","2026-07-11T14:48:22.199Z","","","","","",""
