symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"c","BPAzMkqQvQv3QL1JmyatMSH331TY6AgFpxC7Czq3pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.694e-7","","","","","","2026-07-21T17:33:44.179Z",""
"$BUTT","G4RvgbK8VraXXKuFx62yqnC9JXDZ6Z8S7J41KkNUpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.855e-7","","","","","","2026-07-21T17:33:56.164Z",""
"d","3M6icPqckfr6PgUDrzXdLLw2uXHqSV4f782YbPfgpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.354e-7","","","","","","2026-07-21T17:34:19.947Z",""
"AA250","E2vuxkPq172zSkX31wSWUjSHC6m3TkZqGyJio4fGMssi","59","2.3364","","","","","","","","","","","","","2.3364","0","0","0","0","0","2422.99","3","275.93","275.93","0.667","0.667","0","","0","0","1","0","0","","","","","","","0.000002422","0.000002422","","","","","","2026-07-21T17:34:56.034Z","2026-07-21T17:35:55.772Z","","","","",""
"traincat","8TV6CbFE5Wyp8VzajkJn2FzVGMPsPF8vokUKABWPpump","99","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000004231","","","","","","","2026-07-21T17:35:07.997Z","","","","","",""
"d","BvLSbYJrk1zvxmJxGhsBPQEn2c4Cc7a5MDRWW38Epump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.262e-7","","","","","","2026-07-21T17:35:20.160Z",""
"d","5XctZqbmVESuWJvDWkAG4AKrDastKHopJznpeabJpump","88","9.876543208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002506","","","","","","","2026-07-21T17:35:49.980Z","","","","","",""
"Lil Fella","DyjcCdZLdewaZUs9LDDnjXECr6QrbgKWwcQWgYvipump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.109e-7","","","","","","2026-07-21T17:35:50.023Z",""
"POOP","EYiHJkJqoSZot6ZDDAxXwLsBeKYMaSeS8TnAe7eBpump","58","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000228","","","","","","","2026-07-21T17:36:07.947Z","","","","","",""
"WARNING","GPxVG9TcCdAub5CWhBXESS4ZxMQ4p2bGHsqt5F6kpump","59","0.166913579","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000802","","","","","","7.555e-7","2026-07-21T17:36:26.001Z","","","","","2026-07-21T17:37:49.952Z",""
"DUGE","DpLDk4vWoigZSV3PJ11fNqcfsoyx8jbKmByEgq9apump","67","3.950617282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003025","","","","","","","2026-07-21T17:36:31.993Z","","","","","",""
"dog+","AaPPM6ydzqMeJm3LXN1hCtEiQvJ3WWQUyLxKdREfpump","57","1.965432097","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003467","","","","","","","2026-07-21T17:36:38.014Z","","","","","",""
"OYSTER","5FBk2wUnPVMY7ckje9bii1DUs89bM6TkH6bjnmiepump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.844e-7","","","","","","2026-07-21T17:37:13.948Z",""
"$BEAST","4LfffcnpSxcn7zQu5rZ39QZ8ghvtaiQYzLv31qMPpump","","","","","","","","","0","0","0","0","0","908","3.000000001","0","0","0","0","0","2633.7","3","233.55","233.55","1","1","0","","0","0","1","0","0","","","","","","","","0.000002633","","","","","","","2026-07-21T17:37:19.801Z","","","","",""
"$BUTT","GCSUhaGuvXVYQA9GBRyLnUHwvygMFwcoCyWS37nvpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.427e-7","","","","","","2026-07-21T17:37:19.992Z",""
"🚀","6h5eR3DM7csJH8UczrB49Rm1ETMCBgzusZFaX92ppump","66","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002285","","","","","","","2026-07-21T17:37:26.025Z","","","","","",""
"fanclub","3A4ZRg9yk6VMY6deVDZxcJuMLViABiqoHGhignC2pump","61","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002177","","","","","","","2026-07-21T17:37:26.071Z","","","","","",""
"$BUTT","EA4xRzSugnuWs1y59rxrLyN4uWPXrjwKJkDG9g5cpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.643e-7","","","","","","2026-07-21T17:37:43.975Z",""
"AIR","7qTiZwp7WgS7B1fs8Vvxr7ty27QL3YZJf1n2ghCRpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.421e-7","","","","","","2026-07-21T17:38:07.982Z",""
"WDYB","HUexDBF68iKCwZPJG4bigG9Syn9z9mzXax8Dsr8xpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.301e-7","","","","","","2026-07-21T17:38:32.067Z",""
"BOOST","BuUUr7HMo7DnWNpNGgzrSBCHwo1DSH8eL3aG1LR3pump","62","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002283","","","","","","","2026-07-21T17:39:01.973Z","","","","","",""
"FDRY","6gfZNnSmx1jaD7jUL8pEWVRGiJ816BcPrd1W4tYapump","59","2.271604937","","54.571","","","","","","","","","","","2.271604937","0","0","0","0","0","3194.72","3","493.31","493.31","1","1","26.84","","0","0","1","0","0","-28.71008140262993","","","","","","0.000003194","0.000003194","","","0.000002277","","","2026-07-21T17:39:07.980Z","2026-07-21T17:40:13.862Z","","","2026-07-21T17:41:08.433Z","",""
"summer","7T4LqMCDA5KEXtkDwucjcr3T44ToGEArCqAj3mo2pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.902e-7","","","","","","2026-07-21T17:39:20.073Z",""
"NDA","BMageacXHu4vRJ5qT5xkhGiFbJuVosoQALYv3gdepump","87","17.876543208","","77.867","","","","","0","0","-70.3","-9","0","250","17.876543208","0","0","0","0","0","7370.66","3","2788.65","2788.65","0.744","0.744","32.89","","0","0","1","0","0","-9.009497964721845","","","","","","0.000007133","0.00000737","","","0.000006706","","","2026-07-21T17:39:32.035Z","2026-07-21T17:40:38.114Z","","","2026-07-21T17:41:55.981Z","",""
"ANSEMOTHY","GPELXdZ4fNA1DM1xPWzxacoxaEUvvXjZvpn2TaSjpump","75","6.844444442","","24.338","","","","","0","0","-31.1","-30.4","0.6","910","6.844444442","0","0","0","0","0","3350.1","3","961.13","961.13","0.75","0.75","1.99","","0","0","1","0","0","-30.507462686567166","","","","","","0.000003341","0.00000335","","","0.000002328","","","2026-07-21T17:39:38.029Z","2026-07-21T17:40:37.929Z","","","2026-07-21T17:41:02.267Z","",""
"Boomer","7XES3gtk4RgAhWU5kZPdQxv3eQrFZwSeFjFZkvjApump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.988e-7","","","","","","2026-07-21T17:39:38.086Z",""
"AIR","EWqFKbJVAtvHRySRvmDSSkwvvDbv2QNcwcn82zKGpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.902e-8","","","","","","2026-07-21T17:39:55.997Z",""
"BlackBull","9D97eVhZMftjgwtAJXJ423UMXXBkPJYdrYchfoSCpump","100","0.059259258","","48.267","","","","","0","0","-91.8","-91.8","0","88","0.059259258","1","1","1","0","0","4687.79","3","34","34","0.556","0.556","114","","0","0","1","0","0","-58.39556219330062","","","","","","0.000004687","0.000004687","","","0.00000195","","3.836e-7","2026-07-21T17:40:14.075Z","2026-07-21T17:41:19.774Z","","","2026-07-21T17:42:08.041Z","2026-07-21T17:42:55.735Z",""
"RFC","8BUn3DK7b3G2xs8oE6CeE1jawAaFNbmHmc2RSb6pump","75","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002184","","","","","","","2026-07-21T17:40:44.016Z","","","","","",""
"NM","84UHjSUkfemrBiZhh8FNJGycQyA1okkiNJAv8rRppump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.832e-7","","","","","","2026-07-21T17:40:50.074Z",""
"YOURSELF","GSSw8YthCxVnbEVvZnKvQamcd2qX5dsS9GbuZN6Fpump","77","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000219","","","","","","","2026-07-21T17:41:38.045Z","","","","","",""
"茸茸","AE4QDKeFnmZGZsGUDb5yAUrQcpNSQ4x1TM3USiRipump","","","","","","","","","0","0","0","0","0","904","5","0","0","0","0","0","2964.13","3","389.45","389.45","1","1","0","","0","0","1","0","0","","","","","","","","0.000002964","","","","","","","2026-07-21T17:42:13.920Z","","","","",""
"Jimothyfun","47yifTzRKhrRz2EiWuWg8u7Qt6aV53cdVHA5Cn8Bpump","","","","78.062","","","","","0","0","-17.8","-17.4","0","908","3","0","0","0","0","0","2650.84","3","241.36","241.36","1","1","0.6","","0","0","1","0","0","-17.396226415094336","","","","","","","0.00000265","","","0.000002189","","","","2026-07-21T17:42:19.902Z","","","2026-07-21T17:43:37.964Z","",""
"GOAP","AZgNxUSqKFyPAqggGavx1HLm9ZvRBL4QFmUXSRxzpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002263","","","","","","2026-07-21T17:42:20.086Z",""
"FATDOGGY","9EKXDvjquvKagKs637szEEFNpGqybQNNL4QvLAd9pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.776e-7","","","","","","2026-07-21T17:42:31.951Z",""
