symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"ONWARD","BWCghdvi8yQCZGoUXbjC9e1YMKPUpYcMsP3xCMczL1Qm","79","4.938271603","","","","","","","","","","","","","0.000002431","0.000002431","","","","","","2026-07-04T17:30:45.640Z","2026-07-04T17:31:44.816Z","","","","",""
"TATE","AN8TBUUGertDRp4mxj3sSeG9tQ3LtkjUzsb1iSWzpump","","","","12.132","","","","","-33.02699597932223","","","","","","","0.000003482","","","0.000002332","","","","2026-07-04T17:31:44.879Z","","","2026-07-04T17:31:57.011Z","",""
"TripleT","F4cFx8fTe1jxNgErZZK1Z3vtZsuj7ENB6Dx2qVp7pump","72","3.173333332","","","","","","","","","","","","","0.000002542","","","","0.000002356","","","2026-07-04T17:31:45.641Z","","","","2026-07-04T17:32:20.998Z","",""
"bro","AXQRYnymzQeY6jNruU4CtosQFupJM8B5ALMWpnUJSyTK","71","3","","","","","","","","","","","","","0.000002314","0.000002314","","","","","","2026-07-04T17:32:15.702Z","2026-07-04T17:33:14.789Z","","","","",""
"Offside","bd1FF2Fy9onFJsBRpny3SYZZj6YwtD97r1QBX4k6ykd","","","","","","","","","","","","","","","","","","","","","0.000002444","","","","","","2026-07-04T17:33:09.640Z",""
"ZenPepe","DfQDzBd2nV3j2H4hrNTXRXU7YCh932vMFzEzS16Dpump","83","4.938271603","","","","","","","","","","","","","0.000002419","","","","","","","2026-07-04T17:33:27.661Z","","","","","",""
"Dream","4dsxEaophfAoDeFitFeG6tnR4MmKJgZk8egugmg6pump","69","5","","","","","","","","","","","","","0.000002304","","","","","","","2026-07-04T17:33:33.670Z","","","","","",""
"OFFSIDE","HgLxqEr8o4c2umRJW2CY2rk1GnYAe6mrXWpsfkvWpump","82","8","","","","","","","","","","","","","0.000002317","","","","","","","2026-07-04T17:34:09.581Z","","","","","",""
"Teckel","5MG8fjUdCBFRJYkBgED1d8PWG8q16Ba7Mv6CsNLtpump","","","","","","","","","","","","","","","","0.000003447","","","","","","","2026-07-04T17:34:44.756Z","","","","",""
"TripleT","E8kBhUZTUrmagoQTNeQ8bDSJL8r5FMRLjF9CxWx7pump","69","2.74567901","","","","","","","","","","","","","0.000004526","","","","0.000002626","","","2026-07-04T17:35:21.577Z","","","","2026-07-04T17:36:02.971Z","",""
"1","7spiSttYEFP2kRALuzbzbhAMEEZopoiAuC7JR3WVS3Zv","82","7.901234566","","","","","","","","","","","","","0.000002934","","","","0.0000024","","","2026-07-04T17:36:21.595Z","","","","2026-07-04T17:37:02.988Z","",""
"1","5NTs9xppLNeeMsFCyNVCXXr9XCejBVYfG2WFvcQ5pump","69","2.760076587","","","","","","","","","","","","","0.000004","","","","0.000004","","","2026-07-04T17:36:27.986Z","","","","2026-07-04T17:36:50.758Z","",""
"neko","B1kvKyLFA8knPeyUunTVhbFVJZow3jccTEujA9GVpump","79","4.875358023","","","","","","","","","","","","","0.000002327","","","","","","","2026-07-04T17:36:33.604Z","","","","","",""
"TripleA","HLx4pybHwpQ1MJ7XQReEZc4HKDkbzC4ubsw272j7pump","77","4.500000001","","","","","","","","","","","","","0.000003883","","","","0.000003276","","","2026-07-04T17:37:15.557Z","","","","2026-07-04T17:37:50.969Z","",""
"JARHEAD","A86b4kWgr8m52zgC5JMtCQe15TveWkJ3BwUamazpump","71","3","","","","","","","","","","","","","0.000002459","","","","0.00000231","","","2026-07-04T17:37:33.691Z","","","","2026-07-04T17:38:56.955Z","",""
